# DESCRIPTION: Verilator output: Timestamp data for --skip-identical.  Delete at will.
C "-Wall --cc --trace counter.sv --exe counter_tb.cpp"
S  10697968    42974  1729160837   467487480  1729160837   467487480 "/usr/local/bin/verilator_bin"
S       721    74325  1729350166   912185930  1729350166   912185930 "counter.sv"
T      4512    74337  1729350344   610052545  1729350344   610052545 "obj_dir/Vcounter.cpp"
T      2878    74336  1729350344   610052545  1729350344   610052545 "obj_dir/Vcounter.h"
T      1853    74345  1729350344   610052545  1729350344   610052545 "obj_dir/Vcounter.mk"
T       770    74334  1729350344   610052545  1729350344   610052545 "obj_dir/Vcounter__Syms.cpp"
T      1109    74335  1729350344   610052545  1729350344   610052545 "obj_dir/Vcounter__Syms.h"
T      1902    74343  1729350344   610052545  1729350344   610052545 "obj_dir/Vcounter__Trace__0.cpp"
T      3661    74342  1729350344   610052545  1729350344   610052545 "obj_dir/Vcounter__Trace__0__Slow.cpp"
T       867    74338  1729350344   610052545  1729350344   610052545 "obj_dir/Vcounter___024root.h"
T      2008    74341  1729350344   610052545  1729350344   610052545 "obj_dir/Vcounter___024root__DepSet_he26a92aa__0.cpp"
T      1633    74340  1729350344   610052545  1729350344   610052545 "obj_dir/Vcounter___024root__DepSet_he26a92aa__0__Slow.cpp"
T       656    74339  1729350344   610052545  1729350344   610052545 "obj_dir/Vcounter___024root__Slow.cpp"
T       481    74346  1729350344   610052545  1729350344   610052545 "obj_dir/Vcounter__ver.d"
T         0        0  1729350344   610052545  1729350344   610052545 "obj_dir/Vcounter__verFiles.dat"
T      1643    74344  1729350344   610052545  1729350344   610052545 "obj_dir/Vcounter_classes.mk"
